"manufacturers_id","manufacturers_name","manufacturers_label","manufacturers_image","manufacturers_image_med","manufacturers_press_image","date_added","last_modified","dummy","artist_set",
10,"Apparat","32|999","apparat.jpg","apparat_medium.jpg","apparat_press.jpg",10/11/07 23:16,10/07/09 00:33,,"M"
11,"T.Raumschmiere","32|999","TR01_kl.jpg","raumschmiere_m.jpg","TR%20by%20Andres%20Marroquin%2001.jpg",19/11/07 15:28,21/07/09 22:57,,"M"
12,"Anders Ilar","32|999","anders%20037_kl.jpg","rnm_170_anders.jpg","anders%20037.jpg",19/11/07 15:30,19/08/09 14:21,,"A"
13,"Sun Electric",32,"SE_1.jpg",,"foto_SE.jpg",19/11/07 15:31,15/08/08 15:17,,"A"
14,"Judith Juillerat","32|999","judith_5474a_kl.jpg","rnm_170_Judith.Juillerat.jpg","_00A5474a.jpg",19/11/07 15:32,10/11/09 16:09,,"A"
84,"Boxtype",32,"Boxtype_kl.jpg",,"Boxtype_1.JPE",27/11/07 15:21,15/08/08 15:32,,"A"
16,"Das Bierbeben",32,"dasbier_kl2009.jpg",,"DB2009Bild5.JPG",19/11/07 15:34,30/04/09 12:31,,"M"
18,"Fenin","22|32|999","Fenin_kl.jpg","fenin_m.jpg","Fenin%20color.jpg",19/11/07 15:36,19/04/11 16:46,,"M"
20,"Gwem",32,"gwem2008_kl.jpg",,"gwem2008_xx.jpg",19/11/07 15:38,15/08/08 15:51,,"A"
21,"Hakan Lidbo","33|32","LIDBO_klein_kl.jpg",,"LIDBO_klein.jpg",19/11/07 15:39,03/08/08 23:38,,"A"
22,"Jerry Abstract","33|32","JAbstract_2006-2_kl.jpg",,"JAbstract_2006-2.jpg",19/11/07 15:40,15/08/08 16:05,,"A"
23,"Kero",32,"Kero_kl.jpg",,"Kero1.jpg",19/11/07 15:40,15/08/08 16:38,,"A"
24,"Magnum 38","33|32|999","magnum38_kl.jpg","rnm_170_magnum.jpg","magnum38_tokyo_finger",19/11/07 15:40,19/08/09 12:13,,"M"
25,"Napoli Is Not Nepal",32,"NINN_KL.JPG",,"napoliisnotnepal.jpg",19/11/07 15:41,22/07/08 12:56,,"A"
26,"Nanospeed",32,"Nanospeed_kl.jpg",,"NANOSP~2.JPG",19/11/07 15:41,22/07/08 12:56,,"A"
27,"Peter Grummich","33|32|999","peter_grumm_kl.jpg","rnm_170_Grummich.jpg","peter%20im%20schal3.jpg",19/11/07 15:41,10/11/09 16:10,,"A"
28,"Phon.o","32|999","PHONO_KL.JPG","rnm_170_phono.jpg","phono_treppe01b.jpg",19/11/07 15:41,19/08/09 13:37,,"M"
29,"Quasimodo Jones",32,"QJ_kl.jpg",,"QJ guitar jump.jpg",19/11/07 15:42,15/08/08 17:05,,"A"
30,"Rechenzentrum",32,"rechenzentrum_kl.jpg",,"moroder-dwnld.jpg",19/11/07 15:42,15/08/08 17:26,,"A"
31,"Sami Koivikko",32,"sami koivikko 300dpi_kl.jpg",,"sami koivikko 300dpi.jpg",19/11/07 15:42,20/03/08 15:49,,"A"
33,"Holz","33|32",,,,19/11/07 15:43,17/08/08 22:26,,"A"
67,"Shrubbn!!","33|32|999","shrubbn_kl.jpg","rnm_170_shrubbn.jpg","shrubbn_pic_small_rgb.jpg",19/11/07 15:55,31/03/10 13:59,,"M"
69,"Static Lounge",,,,,19/11/07 15:56,27/11/07 16:18,,"A"
70,"Stormbow",,,,,19/11/07 15:56,,,"A"
74,"Daniel Meteo","22|32|999","danielmeteo.jpg","rnm_170_danielm.jpg","daniel_meteo_gross.jpg",19/11/07 15:58,27/10/09 16:17,,"M"
76,"Echo Depth Finders",22,"edf 3_kl.jpg",,"edf 3.jpg",19/11/07 15:58,20/03/08 15:26,,"A"
77,"Wuzi Khan",,,,,19/11/07 15:59,27/11/07 16:33,,"A"
78,"The Rootsman",,,,,19/11/07 15:59,27/11/07 16:27,,"A"
79,"Ferdinand Fehlers",,,,,19/11/07 15:59,27/11/07 15:39,,"A"
81,"Monkeytribe",,,,,19/11/07 16:00,27/11/07 15:59,,"A"
82,"Submission",,,,,19/11/07 16:01,27/11/07 16:24,,"A"
235,"Amerika Ruby",22,,,,12/12/07 15:26,20/05/08 20:08,,"A"
86,"Lee Anderson",32,"lee_and_kl.jpg",,"peter%20fuert.jpg",27/11/07 15:48,15/08/08 14:48,,"A"
237,"The Crack Whore Society",999,"rnm_170_The%20Crack%20Whore.jpg","rnm_170_The%20Crack%20Whore.jpg","The%20Crack%20Whore%20Society.jpg",31/01/08 15:48,10/11/09 17:02,,"A"
89,"Various Artists",,,,,29/11/07 16:06,,,"-"
236,"Dave Tarrida & Mike Fuzz",33,"dave_mike_kl.jpg",,"DSC_7244.jpg",26/01/08 13:53,20/03/08 15:24,,"A"
215,"Transforma & O.S.T.",32,"Transforma-OST_kl.jpg",,"Transforma-OST_(300dpi).jpg",03/12/07 12:33,15/08/08 17:30,,"M"
181,"Herr Pitzelberger",,,,,03/12/07 12:33,,,"A"
178,"Lab Generator",,,,,03/12/07 12:33,,,"A"
222,"Meteo/Thiel",,,,,05/12/07 00:29,,,"gibt�s schon jeweils getrennt"
239,"Warren Suicide",32,"WS2_kl.jpg",,"WS_RGB.JPG",20/05/08 20:13,15/08/08 17:33,,"M"
279,"Cdatakill",,,,,05/09/08 08:05,,,"A"
280,"Enduser",,,,,05/09/08 08:05,,,"-"
238,"Puppetmastaz",32,"puppetmastaz_kl.jpg",,"puppets%20on%20the%20bus.jpeg",23/04/08 16:18,23/08/08 12:35,,"A"
240,"Radio Birdman",,,,,28/05/08 13:29,,,"A"
241,"Bendertainment",,,,,28/05/08 13:31,,,"A"
242,"Elliott Whitmore",,,,,28/05/08 13:33,,,"-"
243,"The Mighty Pow Pow Movement",,,,,28/05/08 13:34,28/05/08 14:32,,"-"
257,"Housemeister",91,,,,05/06/08 13:36,,,"-"
245,"Beatsteaks",,,,,28/05/08 13:36,,,"-"
246,"Justice",,,,,28/05/08 13:36,,,"-"
247,"Roman",,,,,29/05/08 10:36,,,"-"
248,"Wechsel Garland",,,,,29/05/08 10:36,,,"-"
249,"Junction SM",,,,,29/05/08 10:36,,,"-"
250,"DeWalta & Aquatic",,,,,29/05/08 10:36,,,"-"
251,"The 23\'s",,,,,29/05/08 10:36,31/05/08 14:35,,"-"
252,"Max Rouen",,,,,29/05/08 10:36,,,"-"
253,"Le Rok",,,,,29/05/08 10:36,,,"-"
254,"Pluramon",,,,,29/05/08 10:36,,,"A"
255,"Wunder",,,,,29/05/08 10:36,,,"-"
256,"März",,,,,29/05/08 10:36,,,"-"
258,"Bus",,,,,09/06/08 18:04,,,"A"
259,"Bus feat MC Soom-T",,,,,09/06/08 18:04,,,"gleich wie BUS"
260,"Fenin & K.J.Gibbs",,,,,20/06/08 13:39,,,"gleich wie FENIN"
261,"Khan",,,,,02/07/08 13:15,,,"-"
262,"Mark Boombastik",,,,,02/07/08 13:58,,,"gleich wie Mark Boombastik & E.D.L."
263,"Zero Cash & Khan",,,,,02/07/08 14:25,,,"-"
264,"Telefon Tel Aviv",,,,,17/07/08 22:23,,,"-"
265,"Bohren & der Club of Gore",,,,,17/07/08 22:23,,,"-"
281,"Machine Girl",,,,,05/09/08 08:05,,,"-"
282,"Cakebuilder",,,,,05/09/08 08:05,,,"-"
278,"Drumcorps",,,,,05/09/08 08:05,,,"-"
283,"Enduser/Larvae",,,,,05/09/08 08:05,,,"-"
272,"Scapegoat",,,,,04/08/08 22:56,,,"A"
277,"Chevron",,,,,05/09/08 08:05,,,"-"
276,"Mike Fuzz",,,,,08/08/08 10:13,,,"A"
284,"Scorn",,,,,05/09/08 08:05,,,"-"
285,"Mad EP & Ra",,,,,05/09/08 08:05,,,"-"
286,"Mothboy",,,,,05/09/08 08:05,,,"-"
287,"Larvae",,,,,05/09/08 08:05,,,"-"
288,"AZ-Rotator",,,,,05/09/08 08:05,,,"-"
289,"Mad EP",,,,,05/09/08 08:05,,,"-"
290,"Bong-Ra",,,,,05/09/08 08:05,,,"-"
291,"Bong-Ra/Enduser",,,,,05/09/08 08:05,,,"-"
292,"CLP","32|999","clp_hoch_kl.jpg","clp_hochsprung_med.jpg","clp_hochsprung01.jpg",11/09/08 14:14,27/10/09 16:14,,"A"
293,"Chris Air",,,,,24/09/08 16:26,,,"-"
294,"Felix",22,,,,17/10/08 11:36,,,"-"
295,"Niak",127,,,,22/10/08 15:07,,,"-"
296,"Funckarma",,,,,11/11/08 12:27,,,"-"
297,"Broken Note",,,,,11/11/08 13:39,,,"-"
298,"DJ Flush",32,"flush.gif",,,04/12/08 17:05,19/12/08 00:00,,"A"
299,"Pelican",140,,,,22/01/09 13:53,,,"-"
300,"MGR",,,,,29/01/09 13:42,,,"-"
301,"Troum",,,,,29/01/09 13:56,,,"-"
302,"Long Distance Calling",,,,,29/01/09 13:56,,,"-"
303,"Ismael Pinkler",22,,,,11/02/09 14:01,,,"A"
304,"Breandan Davey",93,,,,26/02/09 14:07,,,"-"
305,"Bekeschus",,,,,26/02/09 16:36,,,"-"
306,"Bicoma",,,,,26/02/09 16:36,,,"-"
307,"Dave Tarrida",33,,,,10/03/09 15:44,,,"A"
308,"Motor",32,"MOTOR-004_kl.jpg",,"MOTOR-004%20by%20Timothy%20Saccenti.jpg",03/04/09 12:34,21/04/09 15:48,,"M"
309,"Schieres","33|32|999","SCHIERES_kl.jpg","rnm_170_schieres.jpg","SCHIERES-feb2010-1.jpg",12/05/09 15:39,15/02/10 14:17,,"A"
310,"Math Head",,,,,16/06/09 13:22,,,"-"
311,"The Kilimanjaro Darkjazz Ensembl",,,,,16/06/09 13:23,,,"-"
312,"Cardopusher",,,,,16/06/09 13:23,,,"-"
313,"Sickboy",,,,,16/06/09 13:23,,,"-"
314,"O.S.T.",999,"o_s_t_kl.jpg","rnm_170_ost.jpg","chris_02.jpg",17/09/09 13:39,28/10/09 14:11,,"gleich wie transforma & O.S.T."
315,"Raz Ohara",999,"artist_razohara_kl.jpg","rnm_170_razohara.jpg","razohara_gr.jpg",17/09/09 13:53,27/10/09 16:24,,"-"
316,"Anaphie",999,"artist_anaphie_kl.jpg","rnm_170_anaphie.jpg","Andi_1_300.jpg",13/10/09 13:25,04/01/10 14:53,,"-"
317,"Hakan Lidbo vs Magnum 38",33,,,,21/10/09 14:10,,,"gibt�s schon jeweils getrennt"
318,"Khan Of Finland",94,,,,26/10/09 16:48,,,"-"
319,"Julia Hummer",999,"rnm_170_juliahummer.jpg","rnm_170_juliahummer.jpg","julia%20hummer.jpg",28/10/09 14:29,28/10/09 14:56,,"A"
320,"Kadrage",140,,,,23/11/09 15:33,,,"-"
321,"Notic Nastic","32|999","artist_nn_kl.jpg","rnm_170_nn.jpg","nn_gr.jpg",18/01/10 13:37,09/02/10 13:34,,"M"
322,"Xenia Beliayeva","32|999","artist_xenia_kl.jpg","rnm_170_xenia.jpg","xenia_MG_5589_gr.JPG",23/02/10 17:56,12/04/10 11:41,,"M"
323,"Thomas Brinkmann",,,,,09/03/10 14:29,,,"gleich Soul Center"
324,"Luciano",,,,,11/03/10 16:18,,,"-"
325,"Sid Le Rock","32|999","artist_sidlerock_kl.jpg","rnm_170_sidlerock.jpg","Sid%20Le%20Rock_PressPix_0176.jpg",04/05/10 17:41,05/05/10 14:14,,"M"
326,"Never My Queen","235|999","artist_nevermyqueen_kl.jpg","rnm_170_nevermyqueen.jpg","NeverMyQueen_PressPix.jpg",04/05/10 18:08,12/04/11 14:19,,"-"
327,"St. Echo",,,,,17/05/10 15:17,,,"-"
328,"Soul Center","142|32|999","artist_soulcenter_kl.jpg","rnm_170_soulcenter.jpg","Soulcenter.jpg",01/07/10 16:23,06/07/10 13:54,,"M"
329,"Tba aka Tusia Beridze",,,,,01/07/10 18:34,,,"-"
330,"Post Industrial Boys",,,,,01/07/10 18:34,,,"-"
331,"Tba Empty",,,,,01/07/10 18:34,,,"-"
332,"Ester Brinkmann",,,,,01/07/10 18:34,,,"-"
341,"Suicide vs. Brinkmann",,,,,24/08/10 23:06,,,"-"
340,"Plagia / Body Combat",,,,,24/08/10 23:06,,,"-"
344,"Ritornell",87,,,,07/09/10 14:37,,,"-"
345,"Takeo Toyama",87,,,,07/09/10 15:00,,,"-"
343,"VSQ",80,,,,07/09/10 14:26,,,"-"
342,"Andrès Garcìa",80,,,,07/09/10 14:13,,,"-"
338,"Nate Fisher",,,,,18/08/10 21:02,24/08/10 22:33,,"-"
346,"Wells / Schneider/ Whitehead / M",87,,,,07/09/10 15:11,03/02/11 16:13,,"-"
347,"Tolouse Low Trax",87,,,,07/09/10 15:26,,,"-"
348,"Toog",87,,,,15/09/10 15:50,,,"-"
349,"Donna Regina",87,,,,15/09/10 16:05,,,"-"
350,"Frank Bretschneider","32|999","bretschneider_kl.jpg","rnm_170_bretschneider.jpg","frank_bretschneider.jpg",12/11/10 16:35,,,"M"
351,"Oval",999,"oval_kl.jpg","rnm_170_oval.jpg","oval.jpg",12/11/10 16:37,17/11/10 13:15,,"M"
352,"Sorry Entertainers","32|999","artist_the-sorry-entertainers_kl.jpg","rnm_170_the-sorry-entertainers.jpg","the_sorry_entertainer.jpg",01/12/10 16:57,01/12/10 17:42,,"M"
353,"Dj Hidden",125,,,,14/12/10 14:40,,,"-"
354,"Matta",125,,,,14/12/10 15:19,,,"-"
355,"Hecq",125,,,,14/12/10 15:29,,,"-"
356,"Karsten Pflum",125,,,,14/12/10 15:37,,,"-"
357,"Subheim",125,,,,14/12/10 15:52,,,"-"
358,"Black Lung",125,,,,14/12/10 16:08,,,"-"
359,"Tom Thiel","32|999","tomthiel_kl.jpg","rnm_170_tomthiel.jpg","tom_%20thiel_1.jpg",19/01/11 15:28,,,"M"
360,"Lars & Gunnar Hemmerling",127,,,,26/01/11 14:53,,,"-"
361,"Army Of The Universe",234,,,,17/02/11 17:02,,,"-"
362,"Mark Boombastik & E. D. L.","32|999","artist_boombastik-lopez_kl.jpg","rnm_170_boombastk-lopez.jpg","M.Boombastik_E.Lopez_PressePix.jpg",03/05/11 14:22,14/06/11 16:43,,"M"
363,"SHITPARADE",32,,,,07/06/11 15:45,,,"kein artist nur event"
364,"Stig Inge",236,,,,24/08/11 16:03,,,"-"
365,"Playmodul",236,,,,24/08/11 16:04,,,"-"
366,"Medic & Garoni",236,,,,24/08/11 16:04,,,"-"
367,"Stig Inge/Playmodul/Medic&Garoni",236,,,,25/08/11 14:15,25/08/11 14:16,,"-"
